M_NS500382:60:HKGL5BGX3:1:22210:17180:18194 3111338292 53 62.26
M_NS500382:60:HKGL5BGX3:4:21501:4650:1230 3111338292 40 70.00
M_NS500382:60:HKGL5BGX3:3:11401:16982:1055 3111338292 64 71.88
M_NS500382:60:HKGL5BGX3:3:11401:20280:1104 3111338292 87 63.22
M_NS500382:60:HKGL5BGX3:1:12111:5457:3807 3111338292 57 59.65
M_NS500382:60:HKGL5BGX3:4:23410:21012:14007 3111338292 56 73.21
M_NS500382:60:HKGL5BGX3:4:11611:16271:12184 3111338292 41 70.73
M_NS500382:60:HKGL5BGX3:1:21106:1840:12460 2120640771 43 62.79
M_NS500382:60:HKGL5BGX3:1:11207:9234:4325 1119752318 58 65.52
M_NS500382:60:HKGL5BGX3:3:11401:4752:1244 3111338292 52 65.38
M_NS500382:60:HKGL5BGX3:3:11401:13061:1251 3111338292 74 68.92
M_NS500382:60:HKGL5BGX3:4:21612:24713:6941 3111338292 44 65.91
M_NS500382:60:HKGL5BGX3:1:11309:3739:11959 1860739569 48 56.25
M_NS500382:60:HKGL5BGX3:4:12501:5448:15829 1786555517 45 73.33
M_NS500382:60:HKGL5BGX3:1:11311:17434:9462 1322437659 54 68.52
M_NS500382:60:HKGL5BGX3:3:11401:22701:1279 1786555517 50 76.00
M_NS500382:60:HKGL5BGX3:4:23509:24513:14489 3111338292 65 64.62
M_NS500382:60:HKGL5BGX3:4:23401:9878:14859 3111338292 45 68.89
M_NS500382:60:HKGL5BGX3:1:11304:12912:2309 3111338292 79 50.63
M_NS500382:60:HKGL5BGX3:2:13303:5366:12856 3111338292 68 76.47
M_NS500382:60:HKGL5BGX3:1:11105:8251:11657 3111338292 74 66.22
M_NS500382:60:HKGL5BGX3:4:21602:4066:18446 3111338292 61 78.69
M_NS500382:60:HKGL5BGX3:4:11602:23988:10685 3111338292 76 71.05
M_NS500382:60:HKGL5BGX3:1:11106:12370:7497 1814323118 77 32.47
