M_NS500559:167:HCLTNBGXT:1:12211:1425:15279 1750049983 55 61.82
M_NS500559:167:HCLTNBGXT:3:23610:11265:11635 2120640771 53 71.70
M_NS500559:167:HCLTNBGXT:2:21109:22820:4293 1750049983 96 54.17
M_NS500559:167:HCLTNBGXT:2:11206:6470:14465 2429747686 125 65.60
M_NS500559:167:HCLTNBGXT:1:22311:3383:2240 1293883061 41 75.61
F_NS500559:167:HCLTNBGXT:3:22507:7049:12963 1750049983 76 53.95
M_NS500559:167:HCLTNBGXT:2:21304:11612:15726 2120640771 56 71.43
M_NS500559:167:HCLTNBGXT:1:13210:25835:15227 1293883061 79 69.62
M_NS500559:167:HCLTNBGXT:2:22301:23717:3544 2120640771 52 65.38
M_NS500559:167:HCLTNBGXT:2:11206:2649:15970 1293883061 61 73.77
M_NS500559:167:HCLTNBGXT:2:23109:15984:6887 31831535 84 46.43
M_NS500559:167:HCLTNBGXT:1:23107:17838:14123 2120640771 68 58.82
M_NS500559:167:HCLTNBGXT:3:13611:2019:17296 2429747686 39 66.67
M_NS500559:167:HCLTNBGXT:1:12212:10329:11101 2429747686 65 50.77
M_NS500559:167:HCLTNBGXT:1:21110:6148:18864 31831535 39 30.77
M_NS500559:167:HCLTNBGXT:2:23101:1501:3195 2120640771 45 71.11
M_NS500559:167:HCLTNBGXT:1:23309:15120:1633 1293883061 77 75.32
M_NS500559:167:HCLTNBGXT:2:22309:8159:9487 1750049983 46 41.30
M_M02279:795:000000000-DK97M:1:1101:11389:2209 2429747686 75 48.00
M_NS500559:167:HCLTNBGXT:1:21109:20290:7783 1750049983 73 46.58
M_NS500559:167:HCLTNBGXT:3:12605:3090:6664 1750049983 76 60.53
M_NS500559:167:HCLTNBGXT:2:23307:16308:2543 1750049983 56 62.50
M_NS500559:167:HCLTNBGXT:2:23104:23601:10526 2429747686 79 64.56
M_NS500559:167:HCLTNBGXT:3:22512:5065:2428 3478659478 69 39.13
M_NS500559:167:HCLTNBGXT:2:22108:20749:9487 2120640771 43 74.42
M_NS500559:167:HCLTNBGXT:4:23612:6804:9044 2120640771 92 72.83
M_NS500559:167:HCLTNBGXT:1:21205:25462:4675 2429747686 72 56.94
M_NS500559:167:HCLTNBGXT:1:23202:5387:12431 2429747686 69 66.67
M_NS500559:167:HCLTNBGXT:2:11203:13440:13037 1750049983 136 55.88
M_NS500559:167:HCLTNBGXT:1:12111:26806:8902 2120640771 53 67.92
M_NS500559:167:HCLTNBGXT:3:22401:25561:19528 1750049983 107 50.47
M_NS500559:167:HCLTNBGXT:2:11312:18803:13616 1750049983 65 49.23
M_M02279:795:000000000-DK97M:1:1101:11383:2535 1750049983 53 56.60
R_NS500559:167:HCLTNBGXT:3:23410:24083:13753 1750049983 76 68.42
M_NS500559:167:HCLTNBGXT:2:23301:14537:13026 1750049983 60 58.33
M_NS500559:167:HCLTNBGXT:1:12207:13452:9340 2429747686 122 53.28
M_NS500559:167:HCLTNBGXT:2:11106:6150:10831 2429747686 49 63.27
F_NS500559:167:HCLTNBGXT:3:11512:2872:19450 1750049983 76 50.00
M_NS500559:167:HCLTNBGXT:3:12610:10991:1981 2571396325 61 67.21
M_M02279:795:000000000-DK97M:1:1101:20576:2639 2429747686 50 58.00
