number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	160282	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
2	22165	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
3	3578	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
4	762	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
5	266	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
6	115	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
7	69	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
8	51	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
9	28	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
10	22	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
11	19	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
12	9	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
13	8	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
14	8	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
15	6	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
16	2	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
17	8	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
18	4	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
19	2	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
20	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
21	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
22	3	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
23	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
24	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
26	2	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
27	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
28	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
29	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
30	2	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
31	2	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
32	2	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
35	2	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
38	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
39	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
40	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
42	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
46	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
47	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
65	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
88	1	BAN001.A0101.SG1.1_10M	merged	Double	BAN001.A0101_10M
