number_of_duplications	unique_reads	Sequencing_ID	read_type	Strandedness	Library_ID
1	37	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
2	1	BAN001.A0101.SG1.1_10M	unmerged	Double	BAN001.A0101_10M
1	4	BAN001.A0102.SG1.4_10M	unmerged	Single	BAN001.A0102_10M
2	1	BAN001.A0102.SG1.4_10M	unmerged	Single	BAN001.A0102_10M
1	222901	CDM019.A0101.SG1.1_10M	unmerged	Double	CDM019.A0101_10M
2	2155	CDM019.A0101.SG1.1_10M	unmerged	Double	CDM019.A0101_10M
3	23	CDM019.A0101.SG1.1_10M	unmerged	Double	CDM019.A0101_10M
1	109510	CDM019.A0102.SG1.4_10M	unmerged	Single	CDM019.A0102_10M
2	1065	CDM019.A0102.SG1.4_10M	unmerged	Single	CDM019.A0102_10M
3	12	CDM019.A0102.SG1.4_10M	unmerged	Single	CDM019.A0102_10M
1	171792	CDM020.A0101.SG1.1_10M	unmerged	Double	CDM020.A0101_10M
2	1766	CDM020.A0101.SG1.1_10M	unmerged	Double	CDM020.A0101_10M
3	10	CDM020.A0101.SG1.1_10M	unmerged	Double	CDM020.A0101_10M
1	78290	CDM020.A0102.SG1.4_10M	unmerged	Single	CDM020.A0102_10M
2	726	CDM020.A0102.SG1.4_10M	unmerged	Single	CDM020.A0102_10M
3	2	CDM020.A0102.SG1.4_10M	unmerged	Single	CDM020.A0102_10M
1	2077	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
2	638	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
3	302	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
4	144	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
5	69	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
6	24	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
7	13	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
8	3	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
9	3	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
11	1	FUM001.A0101.SG1.1_10M	unmerged	Double	FUM001.A0101_10M
1	280	FUM001.A0102.SG1.4_10M	unmerged	Single	FUM001.A0102_10M
2	6	FUM001.A0102.SG1.4_10M	unmerged	Single	FUM001.A0102_10M
1	8608	FUM002.A0101.SG1.1_10M	unmerged	Double	FUM002.A0101_10M
2	140	FUM002.A0101.SG1.1_10M	unmerged	Double	FUM002.A0101_10M
3	5	FUM002.A0101.SG1.1_10M	unmerged	Double	FUM002.A0101_10M
1	1339	FUM002.A0102.SG1.5_10M	unmerged	Single	FUM002.A0102_10M
2	16	FUM002.A0102.SG1.5_10M	unmerged	Single	FUM002.A0102_10M
1	2787	FUM003.A0101.SG1.1_10M	unmerged	Double	FUM003.A0101_10M
2	217	FUM003.A0101.SG1.1_10M	unmerged	Double	FUM003.A0101_10M
3	14	FUM003.A0101.SG1.1_10M	unmerged	Double	FUM003.A0101_10M
1	337	FUM003.A0102.SG1.4_10M	unmerged	Single	FUM003.A0102_10M
2	8	FUM003.A0102.SG1.4_10M	unmerged	Single	FUM003.A0102_10M
1	2447	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
2	616	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
3	285	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
4	132	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
5	65	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
6	26	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
7	10	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
8	6	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
9	2	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
10	1	GDN001.A0101.SG1.1_10M	unmerged	Double	GDN001.A0101_10M
1	336	GDN001.A0102.SG1.3_10M	unmerged	Single	GDN001.A0102_10M
2	20	GDN001.A0102.SG1.3_10M	unmerged	Single	GDN001.A0102_10M
1	7334	GOY005.A0101.SG1.2_10M	unmerged	Double	GOY005.A0101_10M
2	72	GOY005.A0101.SG1.2_10M	unmerged	Double	GOY005.A0101_10M
1	609	GOY005.A0103.SG1.4_10M	unmerged	Single	GOY005.A0103_10M
2	4	GOY005.A0103.SG1.4_10M	unmerged	Single	GOY005.A0103_10M
