"#SampleID"	"BarcodeSequence"	"LinkerPrimerSequence"	"Study"	"SourceSink"	"Env"
"BAN001.A0101.SG1.1_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"BAN001.A0102.SG1.4_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM019.A0101.SG1.1_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM019.A0102.SG1.4_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM020.A0101.SG1.1_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"CDM020.A0102.SG1.4_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"ERR1883418"	"NA"	"NA"	"sloan2017"	"source"	"environment"
"ERR1883419"	"NA"	"NA"	"sloan2017"	"source"	"environment"
"ERR1883420"	"NA"	"NA"	"sloan2017"	"source"	"environment"
"ERR1883421"	"NA"	"NA"	"sloan2017"	"source"	"environment"
"ERR1883422"	"NA"	"NA"	"sloan2017"	"source"	"environment"
"ERR1883423"	"NA"	"NA"	"sloan2017"	"source"	"environment"
"ERR1883424"	"NA"	"NA"	"sloan2017"	"source"	"environment"
"ERR1883429"	"NA"	"NA"	"sloan2017"	"source"	"environment"
"ERR1883435"	"NA"	"NA"	"sloan2017"	"source"	"environment"
"ERR1883437"	"NA"	"NA"	"sloan2017"	"source"	"environment"
"FUM002.A0101.SG1.1_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM002.A0102.SG1.5_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM003.A0101.SG1.1_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"FUM003.A0102.SG1.4_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GDN001.A0101.SG1.1_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GDN001.A0102.SG1.3_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY005.A0101.SG1.2_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY005.A0103.SG1.4_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY006.A0101.SG1.2_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"GOY006.A0102.SG1.5_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"JAE006.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"JAE007.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"JAE008.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"JAE009.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"JAE010.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"JAE012.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"JAE013.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"JAE014.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"JAE015.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"JAE016.A0101"	"NA"	"NA"	"fellowsyates2021"	"source"	"modern_calc"
"PES001.B0101.SG1.3_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"PES001.B0102.SG1.5_5M"	"NA"	"NA"	"thisStudy"	"sink"	"calculus"
"SRR1631060"	"NA"	"NA"	"oh2016"	"source"	"skin"
"SRR1631061"	"NA"	"NA"	"oh2016"	"source"	"skin"
"SRR1631063"	"NA"	"NA"	"oh2016"	"source"	"skin"
"SRR1631064"	"NA"	"NA"	"oh2016"	"source"	"skin"
"SRR1633008"	"NA"	"NA"	"oh2016"	"source"	"skin"
